P0:0.0F,P1:1.0F
P0:0.06279052F,P1:0.9980267F
P0:0.12533323F,P1:0.9921147F
P0:0.18738131F,P1:0.9822872F
P0:0.24868989F,P1:0.96858317F
P0:0.309017F,P1:0.95105654F
P0:0.36812454F,P1:0.9297765F
P0:0.42577928F,P1:0.90482706F
P0:0.48175368F,P1:0.87630665F
P0:0.5358268F,P1:0.8443279F
P0:0.58778524F,P1:0.809017F
P0:0.637424F,P1:0.77051324F
P0:0.6845471F,P1:0.7289686F
P0:0.7289686F,P1:0.6845471F
P0:0.77051324F,P1:0.637424F
P0:0.809017F,P1:0.58778524F
P0:0.8443279F,P1:0.5358268F
P0:0.87630665F,P1:0.48175368F
P0:0.90482706F,P1:0.42577928F
P0:0.9297765F,P1:0.36812454F
P0:0.95105654F,P1:0.309017F
P0:0.96858317F,P1:0.24868989F
P0:0.9822872F,P1:0.18738131F
P0:0.9921147F,P1:0.12533323F
P0:0.9980267F,P1:0.06279052F
P0:1.0F,P1:6.123234E-17F
P0:0.9980267F,P1:-0.06279052F
P0:0.9921147F,P1:-0.12533323F
P0:0.9822872F,P1:-0.18738131F
P0:0.96858317F,P1:-0.24868989F
P0:0.95105654F,P1:-0.309017F
P0:0.9297765F,P1:-0.36812454F
P0:0.90482706F,P1:-0.42577928F
P0:0.87630665F,P1:-0.48175368F
P0:0.8443279F,P1:-0.5358268F
P0:0.809017F,P1:-0.58778524F
P0:0.77051324F,P1:-0.637424F
P0:0.7289686F,P1:-0.6845471F
P0:0.6845471F,P1:-0.7289686F
P0:0.637424F,P1:-0.77051324F
P0:0.58778524F,P1:-0.809017F
P0:0.5358268F,P1:-0.8443279F
P0:0.48175368F,P1:-0.87630665F
P0:0.42577928F,P1:-0.90482706F
P0:0.36812454F,P1:-0.9297765F
P0:0.309017F,P1:-0.95105654F
P0:0.24868989F,P1:-0.96858317F
P0:0.18738131F,P1:-0.9822872F
P0:0.12533323F,P1:-0.9921147F
P0:0.06279052F,P1:-0.9980267F
P0:1.2246469E-16F,P1:-1.0F
P0:-0.06279052F,P1:-0.9980267F
P0:-0.12533323F,P1:-0.9921147F
P0:-0.18738131F,P1:-0.9822872F
P0:-0.24868989F,P1:-0.96858317F
P0:-0.309017F,P1:-0.95105654F
P0:-0.36812454F,P1:-0.9297765F
P0:-0.42577928F,P1:-0.90482706F
P0:-0.48175368F,P1:-0.87630665F
P0:-0.5358268F,P1:-0.8443279F
P0:-0.58778524F,P1:-0.809017F
P0:-0.637424F,P1:-0.77051324F
P0:-0.6845471F,P1:-0.7289686F
P0:-0.7289686F,P1:-0.6845471F
P0:-0.77051324F,P1:-0.637424F
P0:-0.809017F,P1:-0.58778524F
P0:-0.8443279F,P1:-0.5358268F
P0:-0.87630665F,P1:-0.48175368F
P0:-0.90482706F,P1:-0.42577928F
P0:-0.9297765F,P1:-0.36812454F
P0:-0.95105654F,P1:-0.309017F
P0:-0.96858317F,P1:-0.24868989F
P0:-0.9822872F,P1:-0.18738131F
P0:-0.9921147F,P1:-0.12533323F
P0:-0.9980267F,P1:-0.06279052F
P0:-1.0F,P1:-1.8369701E-16F
P0:-0.9980267F,P1:0.06279052F
P0:-0.9921147F,P1:0.12533323F
P0:-0.9822872F,P1:0.18738131F
P0:-0.96858317F,P1:0.24868989F
P0:-0.95105654F,P1:0.309017F
P0:-0.9297765F,P1:0.36812454F
P0:-0.90482706F,P1:0.42577928F
P0:-0.87630665F,P1:0.48175368F
P0:-0.8443279F,P1:0.5358268F
P0:-0.809017F,P1:0.58778524F
P0:-0.77051324F,P1:0.637424F
P0:-0.7289686F,P1:0.6845471F
P0:-0.6845471F,P1:0.7289686F
P0:-0.637424F,P1:0.77051324F
P0:-0.58778524F,P1:0.809017F
P0:-0.5358268F,P1:0.8443279F
P0:-0.48175368F,P1:0.87630665F
P0:-0.42577928F,P1:0.90482706F
P0:-0.36812454F,P1:0.9297765F
P0:-0.309017F,P1:0.95105654F
P0:-0.24868989F,P1:0.96858317F
P0:-0.18738131F,P1:0.9822872F
P0:-0.12533323F,P1:0.9921147F
P0:-0.06279052F,P1:0.9980267F
